profile,placement,run,mode,threads,bw_gbps,ipc,l2_miss_rate,cyc_per_iter,base_ipc,base_cpi,delta_ipc_pct,delta_cpi_pct
chase,A_same_ccd,4,wc_ntdqa,8,17.876,0.0453,86.68,3621421.865914515,0.0447,3663895.83000439,1.3422818791946385,-1.1592568692059062
chase,A_same_ccd,4,wb_load,8,24.574,0.0045,93.27,36087192.50652174,0.0447,3663895.83000439,-89.93288590604027,884.940461761941
chase,A_same_ccd,5,wb_load,8,24.587,0.0045,92.61,36084763.39891304,0.0449,3648174.075166612,-89.97772828507797,889.1184646189081
chase,A_same_ccd,5,wc_ntdqa,8,17.88,0.0448,88.39,3660935.414866791,0.0449,3648174.075166612,-0.22271714922049635,0.34980073420965707
chase,B_diff_ccd_same_socket,1,wb_load,8,24.887,0.0353,99.12,4646150.283384444,0.0456,3598853.8837284483,-22.58771929824562,29.100831361649686
chase,B_diff_ccd_same_socket,1,wc_ntdqa,8,17.829,0.0453,86.72,3618675.1375718783,0.0456,3598853.8837284483,-0.6578947368421089,0.5507657294186934
chase,B_diff_ccd_same_socket,2,wb_load,8,24.915,0.0353,99.23,4644009.5709308805,0.0453,3622031.6919405577,-22.075055187637975,28.21559737493028
chase,B_diff_ccd_same_socket,2,wc_ntdqa,8,17.822,0.0452,87.28,3631034.375095243,0.0453,3622031.6919405577,-0.220750551876386,0.24855340649606797
chase,B_diff_ccd_same_socket,3,wb_load,8,24.919,0.0353,99.24,4647617.0080870055,0.0456,3599163.8508459963,-22.58771929824562,29.130464760435025
chase,B_diff_ccd_same_socket,3,wc_ntdqa,8,17.827,0.0454,86.32,3609623.5015697735,0.0456,3599163.8508459963,-0.4385964912280675,0.29061335235734453
chase,B_diff_ccd_same_socket,4,wc_ntdqa,8,17.823,0.0456,85.81,3596875.751375256,0.0448,3656888.9890470975,1.7857142857142905,-1.6411008879840099
chase,B_diff_ccd_same_socket,4,wb_load,8,24.869,0.0352,99.16,4654455.306424581,0.0448,3656888.9890470975,-21.428571428571423,27.279097625477203
chase,B_diff_ccd_same_socket,5,wc_ntdqa,8,17.827,0.0458,85.05,3580176.1238320265,0.0457,3587269.2503761016,0.21881838074398877,-0.19773053119253367
chase,B_diff_ccd_same_socket,5,wb_load,8,24.893,0.0353,99.2,4641346.975905293,0.0457,3587269.2503761016,-22.75711159737418,29.38384748841136
chase,C_diff_socket,1,wb_load,8,24.861,0.0446,86.05,3676106.199691596,0.0453,3619712.3256746503,-1.5452538631346562,1.5579656321565525
chase,C_diff_socket,1,wc_ntdqa,8,17.833,0.0448,85.15,3658249.963929394,0.0453,3619712.3256746503,-1.1037527593818994,1.0646602488655172
chase,C_diff_socket,2,wb_load,8,24.779,0.045,84.63,3643351.959283921,0.0446,3675029.3412567405,0.8968609865470798,-0.8619626955682191
chase,C_diff_socket,2,wc_ntdqa,8,17.821,0.0443,86.58,3697645.5751163308,0.0446,3675029.3412567405,-0.6726457399103176,0.6154028106849411
chase,C_diff_socket,3,wb_load,8,24.848,0.0444,86.32,3691310.591793851,0.0461,3560185.5205202005,-3.6876355748373104,3.683096583531159
chase,C_diff_socket,3,wc_ntdqa,8,17.822,0.0461,84.63,3558726.737122747,0.0461,3560185.5205202005,0.0,-0.04097492642013273
chase,C_diff_socket,4,wc_ntdqa,8,17.835,0.0461,84.54,3557911.446102996,0.0459,3574620.4805778493,0.4357298474945507,-0.4674352023001993
chase,C_diff_socket,4,wb_load,8,24.769,0.0457,85.68,3585135.633941998,0.0459,3574620.4805778493,-0.43572984749456584,0.29416139199338576
chase,C_diff_socket,5,wb_load,8,24.837,0.0448,85.07,3658886.856281517,0.046,3561848.0,-2.608695652173912,2.7243963325082112
chase,C_diff_socket,5,wc_ntdqa,8,17.835,0.0446,85.69,3674140.4033252588,0.046,3561848.0,-3.043478260869562,3.152644451005735
chase,D_both_sockets,1,wc_ntdqa,8,24.519,0.0459,85.15,3572858.3278021626,0.0459,3572965.1714621885,0.0,-0.002990335894657855
chase,D_both_sockets,1,wb_load,8,25.09,0.045,84.59,3642418.5806944747,0.0459,3572965.1714621885,-1.9607843137255008,1.9438591169883526
chase,D_both_sockets,2,wc_ntdqa,8,24.534,0.045,84.61,3644919.930944056,0.0448,3660221.0876904526,0.44642857142856873,-0.4180391397081319
chase,D_both_sockets,2,wb_load,8,25.117,0.046,84.95,3567294.575414217,0.0448,3660221.0876904526,2.678571428571428,-2.538822383947053
chase,D_both_sockets,3,wc_ntdqa,8,24.534,0.0457,85.73,3586246.523696937,0.045,3643642.402858078,1.5555555555555538,-1.5752335936182835
chase,D_both_sockets,3,wb_load,8,25.131,0.046,84.63,3561599.2247838615,0.045,3643642.402858078,2.222222222222224,-2.2516802968881273
chase,D_both_sockets,4,wb_load,8,25.109,0.0458,85.6,3583221.6283689467,0.0441,3716725.492321389,3.854875283446712,-3.591975361867749
chase,D_both_sockets,4,wc_ntdqa,8,24.51,0.0456,86.26,3599128.075280414,0.0441,3716725.492321389,3.40136054421769,-3.1640059854817513
chase,D_both_sockets,5,wc_ntdqa,8,24.529,0.0454,86.7,3608931.3590741944,0.0454,3607620.5854659323,0.0,0.036333466261472054
chase,D_both_sockets,5,wb_load,8,25.104,0.0459,85.05,3569114.8010907923,0.0454,3607620.5854659323,1.1013215859030847,-1.0673457328153833
