condition,trial,aggressor_cores,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction,sf_evict_total,sf_evict_per_sec,sf_victim_retry,pf_disabled_count,pf_summary
R60,19,60,18.557,9.77,999550319,19215657,4057,0.981134,2097527,209752.7,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,20,60,18.555,9.77,999647272,19173490,4956,0.981176,2092635,209263.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,21,60,18.555,9.77,999819210,19156194,4423,0.981196,2087924,208792.4,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,22,60,18.568,9.77,998842928,19407427,4341,0.980936,2088850,208885.0,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,23,60,18.548,9.76,1000125302,19127508,4780,0.981229,2082107,208210.7,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,24,60,18.529,9.75,1001655089,18717572,4382,0.981652,2080855,208085.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,25,60,18.558,9.77,999297113,19308303,4225,0.98104,2082366,208236.6,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,26,60,18.547,9.76,1000225505,19065199,3845,0.981292,2087425,208742.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,27,60,18.549,9.76,999767723,19150669,3935,0.981201,2089592,208959.2,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,28,60,18.539,9.76,1000799700,18999881,4059,0.981365,2086056,208605.6,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,29,60,18.558,9.77,999450798,19196367,3903,0.981151,2086522,208652.2,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
