phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
2,cat_aggr_ways,1,A,8,1,78.136,79.508,-1.726,23.504,-1.726,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,2,78.161,79.508,-1.694,23.504,-1.694,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,3,78.137,79.508,-1.725,23.504,-1.725,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,4,78.115,79.508,-1.752,23.504,-1.752,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,5,78.138,79.508,-1.723,23.504,-1.723,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,6,78.131,79.508,-1.732,23.504,-1.732,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,7,78.141,79.508,-1.72,23.504,-1.72,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,8,78.137,79.508,-1.725,23.504,-1.725,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,9,78.122,79.508,-1.743,23.504,-1.743,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,10,78.125,79.508,-1.74,23.504,-1.74,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,11,78.126,79.508,-1.738,23.504,-1.738,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,12,78.137,79.508,-1.725,23.504,-1.725,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,13,78.151,79.508,-1.707,23.504,-1.707,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,14,78.132,79.508,-1.731,23.504,-1.731,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,15,78.123,79.508,-1.742,23.504,-1.742,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,16,78.151,79.508,-1.707,23.504,-1.707,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,17,78.134,79.508,-1.728,23.504,-1.728,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,18,78.129,79.508,-1.735,23.504,-1.735,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,19,78.156,79.508,-1.701,23.504,-1.701,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,20,78.146,79.508,-1.713,23.504,-1.713,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,21,78.128,79.508,-1.736,23.504,-1.736,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,22,78.143,79.508,-1.717,23.504,-1.717,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,23,78.119,79.508,-1.747,23.504,-1.747,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,24,78.131,79.508,-1.732,23.504,-1.732,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,25,78.119,79.508,-1.747,23.504,-1.747,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,26,78.129,79.508,-1.735,23.504,-1.735,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,27,78.143,79.508,-1.717,23.504,-1.717,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,28,78.122,79.508,-1.743,23.504,-1.743,,True,vic12w_agg1w
2,cat_aggr_ways,1,A,8,29,78.134,79.508,-1.728,23.504,-1.728,,True,vic12w_agg1w
