condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,7,2,7.14,550012,110002.0,0,5384865317,"{""unc_cha_core_snp.evict_one"": 334014, ""unc_cha_core_snp.evict_gtone"": 215998, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5384865317, ""unc_cha_tor_inserts.ia_drd"": 3073679242}"
A,7,3,7.16,465183,93037.0,0,5514165584,"{""unc_cha_core_snp.evict_one"": 276079, ""unc_cha_core_snp.evict_gtone"": 189104, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5514165584, ""unc_cha_tor_inserts.ia_drd"": 2958215962}"
A,7,4,7.22,583307,116661.0,0,5329393252,"{""unc_cha_core_snp.evict_one"": 366151, ""unc_cha_core_snp.evict_gtone"": 217156, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5329393252, ""unc_cha_tor_inserts.ia_drd"": 3252119980}"
A,7,5,7.09,482960,96592.0,0,5489108949,"{""unc_cha_core_snp.evict_one"": 294160, ""unc_cha_core_snp.evict_gtone"": 188800, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5489108949, ""unc_cha_tor_inserts.ia_drd"": 2902988228}"
A,7,6,7.46,717951,143590.0,0,5617417820,"{""unc_cha_core_snp.evict_one"": 435144, ""unc_cha_core_snp.evict_gtone"": 282807, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5617417820, ""unc_cha_tor_inserts.ia_drd"": 2646961201}"
A,7,7,7.09,436367,87273.0,0,5453573939,"{""unc_cha_core_snp.evict_one"": 260030, ""unc_cha_core_snp.evict_gtone"": 176337, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5453573939, ""unc_cha_tor_inserts.ia_drd"": 2933399370}"
A,7,8,7.23,1009643,201929.0,0,5413849562,"{""unc_cha_core_snp.evict_one"": 592804, ""unc_cha_core_snp.evict_gtone"": 416839, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5413849562, ""unc_cha_tor_inserts.ia_drd"": 2917283104}"
A,7,9,7.11,450228,90046.0,0,5416112522,"{""unc_cha_core_snp.evict_one"": 260881, ""unc_cha_core_snp.evict_gtone"": 189347, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5416112522, ""unc_cha_tor_inserts.ia_drd"": 3004758408}"
A,9,0,9.36,558947,111789.0,0,6793307376,"{""unc_cha_core_snp.evict_one"": 348516, ""unc_cha_core_snp.evict_gtone"": 210431, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6793307376, ""unc_cha_tor_inserts.ia_drd"": 3867379562}"
A,9,1,9.51,503464,100693.0,0,6975311124,"{""unc_cha_core_snp.evict_one"": 288206, ""unc_cha_core_snp.evict_gtone"": 215258, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6975311124, ""unc_cha_tor_inserts.ia_drd"": 3537302939}"
A,9,2,9.49,465196,93039.0,0,6689156411,"{""unc_cha_core_snp.evict_one"": 266386, ""unc_cha_core_snp.evict_gtone"": 198810, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6689156411, ""unc_cha_tor_inserts.ia_drd"": 3789740537}"
A,9,3,9.45,457448,91490.0,0,6647451312,"{""unc_cha_core_snp.evict_one"": 260424, ""unc_cha_core_snp.evict_gtone"": 197024, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6647451312, ""unc_cha_tor_inserts.ia_drd"": 3787705756}"
