cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
AC-VC,23,2,2,32,60,1,2,17.12,1.95,360.093,1899981047,189.52,1943909,18962538,4874573,0.204495,27712791,5421,0,3936295394,448,0,1,0,2,722022c00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,24,2,2,32,60,1,2,17.12,1.95,356.933,1899986142,187.86,1981856,19452393,4813498,0.198365,27658526,4352,0,3936042312,440,0,1,0,2,769762600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,25,2,2,32,60,1,2,17.12,1.95,366.495,1899983827,192.89,1942528,18386402,4860062,0.209067,27800783,4407,0,3936289230,438,0,1,0,2,707c8e200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,26,2,2,32,60,1,2,17.12,1.95,360.989,1899960285,190.0,1940133,18992946,4836794,0.202973,27690879,4534,0,3935841768,436,0,1,0,2,7f0f39600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,27,2,2,32,60,1,2,17.12,1.95,364.358,1899975183,191.77,1941646,18176777,4823871,0.209728,27784428,4432,0,3936755240,444,0,1,0,2,7e480a000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,28,2,2,32,60,1,2,17.12,1.95,375.015,1899979412,197.38,1992899,16952805,4880580,0.223537,28016552,10148,0,3935934678,490,0,1,0,2,784125800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,29,2,2,32,60,1,2,17.12,1.95,354.227,1899981476,186.44,1982126,19829812,4813160,0.195316,27583873,4667,0,3936372285,448,0,1,0,2,78e860200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
QC,0,2,-1,32,60,1,0,0.0,0,76.972,1899982697,40.51,1696115,224744119,24388,0.000109,211726,182,0,9968,404,0,1,0,0,726178600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,1,2,-1,32,60,1,0,0.0,0,76.979,1899977386,40.52,1674940,224916063,11797,5.2e-05,116916,30,0,5142,396,0,1,0,0,7421ff600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,2,2,-1,32,60,1,0,0.0,0,77.045,1899978904,40.55,1691859,224752993,11755,5.2e-05,104660,43,0,4373,396,0,1,0,0,7589b7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,3,2,-1,32,60,1,0,0.0,0,77.017,1899980531,40.54,1667592,224675179,8754,3.9e-05,69718,22,0,3046,396,0,1,0,0,772e87800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,4,2,-1,32,60,1,0,0.0,0,76.968,1899982276,40.51,1666292,224936996,7702,3.4e-05,64590,19,0,2773,396,0,1,0,0,78a916a00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,5,2,-1,32,60,1,0,0.0,0,76.968,1899981460,40.51,1687968,224877345,8028,3.6e-05,57660,11,0,3689,396,0,1,0,0,7b1746a00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,6,2,-1,32,60,1,0,0.0,0,76.974,1899983167,40.51,1661092,224942819,8532,3.8e-05,65906,4,0,2990,394,0,1,0,0,78fb91800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,7,2,-1,32,60,1,0,0.0,0,76.99,1899978774,40.52,1665698,224997640,8401,3.7e-05,63005,32,0,3593,393,0,1,0,0,79dcfd400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
