condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R32,31,0,393216,28,18.143,1543294464,13274.5,140856,0.0,6399.4,2478.1,1.0,8689140.5,0.0,10.61
R32,31,0,393216,29,18.145,1543086432,10162.1,107830,0.0,3023.5,2477.2,1.0,8542056.0,0.0,10.61
Q,0,0,33554432,0,81.594,343159584,142264.4,1527425,0.0,114578.3,29631.3,0.9359,29733809.6,0.0,10.74
Q,0,0,33554432,1,81.791,342360160,130881.6,1404558,0.0,94380.8,56758.9,0.8831,32728897.1,0.0,10.73
Q,0,0,33554432,2,81.855,342118016,233306.6,2503928,0.0,192458.3,67097.9,0.8647,38904839.1,0.0,10.73
Q,0,0,33554432,3,81.448,343773376,26093.9,280041,0.0,17853.5,8367.1,0.9813,4664212.9,0.0,10.73
Q,0,0,33554432,4,81.439,343812928,16427.9,176295,0.0,12733.7,6817.6,0.9846,3417798.2,0.0,10.73
Q,0,0,33554432,5,81.707,342719200,90130.2,967288,0.0,83893.4,49211.6,0.8983,12453264.2,0.0,10.73
Q,0,0,33554432,6,81.44,343806720,24988.8,268164,0.0,17501.9,6358.2,0.9856,4181534.6,0.0,10.73
Q,0,0,33554432,7,81.442,343801152,16034.9,172079,0.0,12825.9,7556.4,0.983,3410702.6,0.0,10.73
Q,0,0,33554432,8,81.423,343881920,22903.3,245779,0.0,18640.8,6872.5,0.9845,4379412.0,0.0,10.73
Q,0,0,33554432,9,81.427,343863840,16380.0,175777,0.0,12535.3,6638.9,0.985,3210729.9,0.0,10.73
Q,0,0,33554432,10,81.43,343849440,18361.6,197043,0.0,14887.4,6537.2,0.9853,3440730.4,0.0,10.73
Q,0,0,33554432,11,81.421,343891104,22862.8,245366,0.0,18309.6,8359.4,0.9812,3984588.1,0.0,10.73
Q,0,0,33554432,12,81.424,343876032,15815.6,169718,0.0,12380.8,6582.2,0.9851,3195053.1,0.0,10.73
Q,0,0,33554432,13,81.429,343852448,16570.2,177817,0.0,13129.8,7133.6,0.984,3209047.7,0.0,10.73
Q,0,0,33554432,14,81.439,343812576,14253.6,152961,0.0,10776.4,6571.9,0.9853,2821317.1,0.0,10.73
Q,0,0,33554432,15,81.444,343791008,16043.6,172166,0.0,14312.3,6896.4,0.9845,3105227.8,0.0,10.73
