condition,trial,platform,victim_wss_bytes_requested,victim_wss_note,aggressor_cores,aggressor_region_gb_per_core,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction
A_L2_scaled,17,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.239,10.13,953965819,28508060,25006,0.970959
A_L2_scaled,18,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.277,10.15,951616473,29071095,26192,0.97033
A_L2_scaled,19,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.247,10.13,952903125,28996415,20271,0.970449
A_L2_scaled,20,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.227,10.12,954332060,28581470,22456,0.9709
A_L2_scaled,21,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.238,10.13,953825465,28549147,21419,0.970917
A_L2_scaled,22,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.236,10.12,953800569,28789718,22159,0.970678
A_L2_scaled,23,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.227,10.12,954548373,28455554,22924,0.97103
A_L2_scaled,24,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.236,10.12,953590093,28883051,20539,0.970581
A_L2_scaled,25,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.223,10.12,954561504,28546021,21333,0.970942
A_L2_scaled,26,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.244,10.13,953196266,28891237,23487,0.970559
A_L2_scaled,27,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.253,10.13,952809024,28788535,27587,0.970644
A_L2_scaled,28,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.255,10.13,952614397,28963879,24310,0.970469
A_L2_scaled,29,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.246,10.13,953253849,28746800,22889,0.970704
