condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R8,8,1,393216,27,18.201,1538400480,11962.3,126932,0.0,15489.3,1208.1,1.0,3025514.5,0.0,10.61
R8,8,1,393216,28,18.205,1538002432,12649.9,134230,0.0,17666.7,1321.3,1.0,3158592.8,0.0,10.61
R8,8,1,393216,29,18.205,1538015712,8103.8,85989,0.0,11290.8,1030.1,1.0,2544274.7,0.0,10.61
R16,16,1,393216,0,18.182,1539982624,119916.7,1272724,0.0,124419.5,16316.5,0.9999,19731445.3,0.0,10.61
R16,16,1,393216,1,18.186,1539607168,244244.8,2592265,0.0,126740.1,17402.0,0.9999,24422171.3,0.0,10.61
R16,16,1,393216,2,18.192,1539076960,241932.9,2567796,0.0,120133.3,17540.9,0.9999,23843064.8,0.0,10.61
R16,16,1,393216,3,18.186,1539683488,183496.1,1947525,0.0,105775.0,17456.7,0.9999,22528652.2,0.0,10.61
R16,16,1,393216,4,18.187,1539575840,214728.6,2279014,0.0,110263.7,17896.1,0.9999,24466713.1,0.0,10.61
R16,16,1,393216,5,18.187,1539571424,271310.4,2879567,0.0,113395.9,17704.3,0.9999,24988200.1,0.0,10.61
R16,16,1,393216,6,18.189,1539384704,234052.4,2484089,0.0,109839.0,16115.7,0.9999,23015319.9,0.0,10.61
R16,16,1,393216,7,18.187,1539574496,234303.0,2486699,0.0,113027.3,17442.8,0.9999,24382954.0,0.0,10.61
R16,16,1,393216,8,18.179,1540274464,150421.5,1596547,0.0,97983.3,17128.4,0.9999,21398349.2,0.0,10.61
R16,16,1,393216,9,18.179,1540254656,119732.4,1270748,0.0,96456.9,17468.1,0.9999,20672387.7,0.0,10.61
R16,16,1,393216,10,18.188,1539431232,214495.3,2276518,0.0,108049.3,17325.4,0.9999,23356542.2,0.0,10.61
R16,16,1,393216,11,18.195,1538885216,235990.8,2504676,0.0,109460.7,17728.7,0.9999,24657727.2,0.0,10.61
R16,16,1,393216,12,18.194,1538910176,237905.4,2524979,0.0,113857.4,16997.4,0.9999,25302340.7,0.0,10.61
R16,16,1,393216,13,18.199,1538494208,139150.5,1476859,0.0,102886.1,17344.6,0.9999,22146404.5,0.0,10.61
R16,16,1,393216,14,18.194,1538942464,117820.3,1250457,0.0,99511.3,17846.0,0.9999,21660955.9,0.0,10.61
R16,16,1,393216,15,18.192,1539113728,244638.9,2596417,0.0,113533.8,17759.3,0.9999,24764048.0,0.0,10.61
R16,16,1,393216,16,18.182,1539937664,231280.8,2454688,0.0,107749.5,17840.0,0.9999,24146519.1,0.0,10.61
R16,16,1,393216,17,18.185,1539758656,227274.1,2412174,0.0,108332.1,17941.5,0.9999,24196739.4,0.0,10.61
R16,16,1,393216,18,18.191,1539240352,111718.5,1185712,0.0,98686.8,16704.9,0.9999,21024029.0,0.0,10.61
R16,16,1,393216,19,18.183,1539898208,127602.9,1354294,0.0,96656.2,17375.4,0.9999,21433933.1,0.0,10.61
R16,16,1,393216,20,18.196,1538810880,222764.4,2364285,0.0,109644.5,17514.3,0.9999,24446703.7,0.0,10.61
R16,16,1,393216,21,18.192,1539086400,244050.5,2590200,0.0,112047.0,17770.2,0.9999,25112585.0,0.0,10.61
