condition,n_aggressor_cores,trial,victim_cycles_per_load,victim_total_loads,aggregate_bw_gbps,agg_reported_bw,sf_evictions_per_sec,sf_evict_total,llc_victims_per_sec,l3_misses_per_sec,l2_hits_per_sec,l2_hit_rate,mc_queue_occ,tor_drd_occ
B,2,22,154.19,18159200,0.0,2.13,52283.3,563959,0.0,6733820.5,548707.1,0.0753,3551253214.5,112258885748.2
B,2,23,154.61,18109856,0.0,2.13,48622.9,524475,0.0,6736185.2,549527.0,0.0754,3548147247.7,112080075935.1
B,2,24,154.8,18087296,0.0,2.13,45233.7,487916,0.0,6747760.5,549293.5,0.0753,3550473270.5,112212736669.8
B,2,25,153.71,18215680,0.0,2.13,44864.3,483885,0.0,6716045.1,548292.0,0.0755,3549072907.1,112216442598.5
B,2,26,155.45,18011808,0.0,2.13,46047.0,496651,0.0,6752329.3,548097.0,0.0751,3549838182.5,112240353103.1
B,2,27,154.85,18082016,0.0,2.13,56953.6,614371,0.0,6759783.5,548429.1,0.075,3550630026.4,112210223810.9
B,2,28,153.26,18268704,0.0,2.13,49792.4,537114,0.0,6722413.1,547949.7,0.0754,3550476106.1,112239582340.9
B,2,29,154.44,18129728,0.0,2.13,49244.8,531190,0.0,6721212.4,546422.0,0.0752,3549595930.4,112155857482.5
A,3,0,277.7,10082688,0.0,3.2,51261.9,553361,0.0,7649387.8,545522.2,0.0666,3972916608.6,71023994900.6
A,3,1,276.14,10139744,0.0,3.2,52881.1,570824,0.0,7653057.3,543566.6,0.0663,3973216690.5,71015300748.1
A,3,2,278.33,10059808,0.0,3.2,52499.8,566671,0.0,7663878.7,546690.4,0.0666,3972872048.4,71005446338.8
A,3,3,278.82,10042112,0.0,3.2,46296.1,499753,0.0,7665282.0,545578.4,0.0664,3972536477.2,71007420215.0
A,3,4,276.42,10129312,0.0,3.2,47641.0,514251,0.0,7648374.0,546154.9,0.0666,3973012918.4,71019906346.0
A,3,5,278.34,10059552,0.0,3.2,51090.2,551449,0.0,7659469.0,548198.5,0.0668,3970351527.6,70969490479.8
A,3,6,278.4,10057344,0.0,3.2,47745.5,515447,0.0,7664718.5,546433.7,0.0665,3971988006.5,71000385852.1
A,3,7,275.7,10155840,0.0,3.2,50246.8,542381,0.0,7652064.7,547770.5,0.0668,3972130700.7,71006293479.5
A,3,8,278.19,10064928,0.0,3.2,52920.9,571261,0.0,7660704.0,547522.2,0.0667,3971723483.9,70995980446.8
A,3,9,278.63,10048992,0.0,3.2,49864.2,538258,0.0,7661445.5,547552.7,0.0667,3971758869.7,70991160932.6
A,3,10,276.44,10128768,0.0,3.2,50911.3,549501,0.0,7658456.0,547133.5,0.0667,3972706956.0,71005990976.6
A,3,11,278.43,10056128,0.0,3.2,48955.6,528516,0.0,7662551.6,550089.3,0.067,3971567082.6,70991478762.8
A,3,12,276.94,10110528,0.0,3.2,47250.3,510029,0.0,7657411.8,548911.8,0.0669,3971698948.8,70986301921.5
A,3,13,277.12,10103680,0.0,3.2,49040.7,529369,0.0,7655143.1,548324.5,0.0668,3971694689.6,70996830191.0
A,3,14,278.7,10046528,0.0,3.2,49016.8,529116,0.0,7667947.7,550590.0,0.067,3972461327.8,71007100623.2
A,3,15,276.71,10118720,0.0,3.2,50649.4,546771,0.0,7655789.5,550318.5,0.0671,3973218819.0,71011376899.1
A,3,16,276.7,10119136,0.0,3.2,47800.6,515917,0.0,7651831.5,550731.4,0.0671,3972060234.1,71003520479.3
A,3,17,277.79,10079360,0.0,3.2,48718.5,525879,0.0,7661062.8,551248.0,0.0671,3972736686.5,71008862907.2
A,3,18,277.01,10107840,0.0,3.2,47164.4,509101,0.0,7654516.8,548325.1,0.0668,3971742793.9,70988031958.2
A,3,19,278.8,10042816,0.0,3.2,51030.2,550839,0.0,7663476.5,550192.3,0.067,3972112944.3,70996037286.6
A,3,20,278.39,10057696,0.0,3.2,51589.5,556943,0.0,7656343.8,551924.7,0.0672,3972387034.6,71001708471.3
A,3,21,275.23,10173120,0.0,3.2,48277.7,521063,0.0,7651754.5,548347.4,0.0669,3972364584.3,71002923839.9
A,3,22,274.61,10196064,0.0,3.2,99565.5,1074759,0.0,7651078.7,550407.2,0.0671,3974534839.3,70987122272.5
A,3,23,276.39,10130400,0.0,3.2,652215.8,7040800,0.0,7650754.0,536559.5,0.0655,4027777840.3,71211047779.7
A,3,24,279.86,10004928,0.0,3.2,59488.6,642866,0.0,7644404.5,549709.9,0.0671,3968601270.4,70930148641.7
A,3,25,276.99,10108640,0.0,3.2,79475.4,857816,0.0,7659701.0,550000.7,0.067,3971094092.2,70971433273.1
A,3,26,276.15,10139136,0.0,3.2,49887.7,538580,0.0,7653939.1,549972.5,0.067,3970931193.7,70978970935.7
A,3,27,277.5,10090144,0.0,3.2,39643.0,427943,0.0,7650453.5,548937.3,0.0669,3971761671.2,70998159348.8
A,3,28,278.45,10055520,0.0,3.2,42127.4,454746,0.0,7662046.0,552206.2,0.0672,3972150928.5,71001363733.7
A,3,29,276.24,10135904,0.0,3.2,42733.5,461283,0.0,7650491.1,552399.0,0.0673,3973016994.1,71021774312.5
B,3,0,213.87,13091712,0.0,3.18,39587.9,427234,0.0,7312625.2,547160.4,0.0696,3873511839.3,168767581806.4
B,3,1,209.08,13392128,0.0,3.17,39510.3,426302,0.0,7275141.5,546471.4,0.0699,3874512821.7,168795356984.6
B,3,2,208.65,13419776,0.0,3.18,41127.7,443806,0.0,7266056.1,547323.1,0.07,3874921761.0,168810576442.6
B,3,3,211.88,13214848,0.0,3.18,46102.9,497494,0.0,7292035.3,547763.8,0.0699,3875673365.6,168827417640.7
B,3,4,211.09,13264160,0.0,3.19,37789.1,407788,0.0,7286028.3,549867.9,0.0702,3873739398.5,168810177098.4
B,3,5,210.55,13298336,0.0,3.18,37474.6,404405,0.0,7271371.5,549375.9,0.0702,3873857390.5,168837819858.0
B,3,6,210.9,13276224,0.0,3.18,38545.1,415887,0.0,7284404.2,549770.8,0.0702,3874743961.2,168832891188.6
B,3,7,210.13,13325216,0.0,3.18,40002.2,431666,0.0,7273879.1,547634.8,0.07,3874732247.6,168836146634.0
B,3,8,209.81,13345248,0.0,3.18,43583.7,470230,0.0,7270572.3,541812.2,0.0694,3875915739.8,168923765129.3
B,3,9,213.25,13129984,0.0,3.18,39457.3,425842,0.0,7288619.7,550088.8,0.0702,3873533707.4,168766406421.6
B,3,10,210.69,13289216,0.0,3.18,38360.9,413998,0.0,7274115.6,550762.9,0.0704,3873864405.1,168808736259.8
B,3,11,212.14,13198816,0.0,3.18,42627.9,460039,0.0,7296747.6,538539.3,0.0687,3874343940.7,168852581589.8
B,3,12,211.65,13229472,0.0,3.18,43482.8,469138,0.0,7297448.0,540375.3,0.0689,3875751988.5,168842043746.4
B,3,13,208.63,13420736,0.0,3.18,40920.1,441628,0.0,7259412.9,547875.4,0.0702,3874751983.5,168812024672.8
B,3,14,210.18,13321728,0.0,3.18,38337.4,413677,0.0,7278731.6,542050.0,0.0693,3874547569.8,168834428001.4
B,3,15,213.02,13144032,0.0,3.18,46666.4,503488,0.0,7304838.0,541503.6,0.069,3876259742.3,168920020873.9
B,3,16,213.71,13101632,0.0,3.18,46593.9,502713,0.0,7297330.5,541669.4,0.0691,3876438346.2,168874757647.6
B,3,17,210.76,13285120,0.0,3.19,45413.0,489928,0.0,7274445.0,541001.6,0.0692,3876418139.1,168945050892.0
B,3,18,212.91,13150720,0.0,3.18,40424.9,436252,0.0,7290670.7,543845.4,0.0694,3875313333.4,168922514234.4
B,3,19,213.06,13141856,0.0,3.18,39999.0,431667,0.0,7291349.7,550100.2,0.0702,3874904534.4,168869212115.2
B,3,20,209.73,13350496,0.0,3.18,38904.5,419764,0.0,7274335.8,547753.7,0.07,3875230265.6,168857682957.4
B,3,21,209.58,13359904,0.0,3.18,42324.1,456662,0.0,7274471.6,550459.1,0.0703,3875075277.9,168831863922.7
B,3,22,211.7,13226048,0.0,3.18,51777.9,558744,0.0,7279699.8,549719.9,0.0702,3875323345.4,168855617188.8
B,3,23,212.13,13199040,0.0,3.18,47530.7,512929,0.0,7295895.4,550604.5,0.0702,3874630566.6,168904072800.3
B,3,24,211.29,13251648,0.0,3.19,39546.6,426755,0.0,7287174.3,550013.2,0.0702,3874486311.1,168936971565.8
B,3,25,208.97,13398560,0.0,3.18,41949.1,452616,0.0,7278256.3,551112.5,0.0704,3874796104.1,168955931114.5
B,3,26,212.45,13179360,0.0,3.18,43748.0,472030,0.0,7296088.0,549511.9,0.07,3876256333.8,168997228255.8
B,3,27,212.11,13200544,0.0,3.19,39241.1,423455,0.0,7300747.4,549161.8,0.07,3874119068.7,168909590791.4
B,3,28,211.34,13248768,0.0,3.18,39336.6,424475,0.0,7276402.7,549338.7,0.0702,3875591212.0,168997797357.0
B,3,29,213.96,13086304,0.0,3.18,40184.4,433632,0.0,7294769.7,550309.4,0.0701,3874619122.1,168924021088.6
A,4,0,293.48,9540448,0.0,4.18,46149.7,498307,0.0,7625059.8,547792.0,0.067,4058959873.5,97952132057.9
A,4,1,293.78,9530816,0.0,4.18,46432.3,501250,0.0,7634091.2,546606.0,0.0668,4059920969.3,97983411049.3
A,4,2,293.79,9530592,0.0,4.18,41830.7,451628,0.0,7632642.9,548577.6,0.0671,4059264918.4,97969364585.2
A,4,3,293.84,9528832,0.0,4.18,43317.0,467677,0.0,7633195.0,548192.7,0.067,4059012228.4,97968698351.5
A,4,4,295.1,9488288,0.0,4.18,45059.3,486911,0.0,7618692.6,550441.2,0.0674,4055445706.6,97852421355.8
A,4,5,294.08,9521056,0.0,4.18,50575.4,546107,0.0,7631319.4,548230.4,0.067,4056336638.7,97884114556.6
A,4,6,294.06,9521888,0.0,4.18,43217.7,466639,0.0,7634350.7,549239.5,0.0671,4058455090.6,97946406503.1
A,4,7,293.68,9534112,0.0,4.18,43600.4,470735,0.0,7633903.1,549295.9,0.0671,4058819026.0,97951229776.4
A,4,8,293.58,9537408,0.0,4.18,44182.2,477020,0.0,7629431.4,552693.6,0.0675,4060049161.3,97983783412.9
A,4,9,294.04,9522464,0.0,4.18,44618.9,481685,0.0,7635333.0,550048.5,0.0672,4060510366.9,97995797780.5
A,4,10,293.74,9532160,0.0,4.18,45397.1,490080,0.0,7635551.2,550716.8,0.0673,4059574685.2,97972430503.6
A,4,11,293.73,9532480,0.0,4.18,47119.9,508665,0.0,7628762.2,550955.7,0.0674,4060151112.1,97983324631.1
A,4,12,293.29,9546656,0.0,4.18,42927.6,463478,0.0,7633237.7,549995.7,0.0672,4058352983.6,97943427243.7
A,4,13,293.74,9532096,0.0,4.18,42271.4,456392,0.0,7630701.9,553936.0,0.0677,4058764528.4,97956804249.9
A,4,14,294.53,9506464,0.0,4.18,44643.1,481934,0.0,7637557.7,550382.8,0.0672,4059571978.6,97970294667.1
A,4,15,294.01,9523264,0.0,4.18,46977.6,507228,0.0,7633793.9,551986.2,0.0674,4058432801.5,97946715749.3
A,4,16,294.11,9520256,0.0,4.18,43166.6,466093,0.0,7630822.8,551920.5,0.0674,4058046699.5,97929585931.9
